,title,authors,objectives,problem,data,methods_techniques,results,abstract,Objectives,Problem,Data,Methods_Techniques,Results
131,Application of association rule algorithm to industrial safety data mining,"Buddhakulsomsiri, Jirachai and Pannakkong, Warut and Nanthavanij, Suebsak",To be synthesized from abstract,Problem described in context,Data described in abstract,Methods implied through analysis,Results inferred from discussion,"This article presents an association rule-generation algorithm for mining industrial safety data. Examples of accident data are information about injured workers (e.g., age, gender, work experience), date and time of accidents, and severity level of accidents. The proposed algorithm implements the elementary set concept to generate useful relationships between accidents and worker-related attributes and severity of accidents. The relationships are presented as IF-THEN association rules, where the IF statement(s) include a set of accident condition attributes and the THEN statement(s) include attributes that represent a decision outcome (i.e., accident severity). After the rules are generated, the algorithm applies a user-specified filter and a statistical significance test to identify important rules. The rules that pass the filter and the significance test are then reported in the solution. A case study of using the algorithm to mine real safety data obtained from a selected industry is presented, along with examples of reported rules and their interpretations. Copyright © 2015 Inderscience Enterprises Ltd.",The main purpose of the study is to develop an algorithm for generating association rules to mine industrial safety data effectively.,The challenge addressed is to find useful relationships between worker-related attributes and accident severity to improve workplace safety.,"The study used accident data including information on injured workers such as age, gender, and work experience, as well as the date, time, and severity level of accidents. ",The study introduced an algorithm based on the elementary set concept to generate IF-THEN association rules relating accident conditions to outcomes like severity. It incorporated a user-specified filter and a statistical significance test to ensure the relevance and importance of the generated rules.,"The case study demonstrated that the algorithm successfully mined real safety data and identified significant association rules, which were reported with interpretations, thus showing the potential of this method in enhancing industrial safety analysis."
132,Assessment of occupational risks In Turkish manufacturing systems with data-driven models,"Mutlu, Nazli G. and Altuntas, Serkan",To be synthesized from abstract,Occupational accidents often occur due to a combination of multiple factors depending on the machine,Data described in abstract,Methods described in abstract,Results summarized from abstract,"Occupational accidents often occur due to a combination of multiple factors depending on the machine equipment, working conditions and organizational factors during work. According to the occupational accident statistics of the International Labour Organization, Turkey has ranked 1–7 in fatal occupational accidents in the last 9 years. Occupational accidents in Turkey are a critical problem to solve. The vast majority of occupational accidents in Turkey are experienced in the manufacturing industry. Moreover, the number of studies analyzing occupational accidents in the manufacturing industry is limited in the literature. For this reason, the record of 242,537 occupational accidents in the manufacturing industry between 2013 and 2016 was taken from the Turkey Social Security Institution for this study. As methods of data analysis, feature selection, decision tree analysis and association rule mining were chosen as data mining methods and were applied. As a result of the analysis, it was found that the following 5 factors had an effect on the type of accident in manufacturing systems at a level of 92.40%: material (the equipment used during the accident), special activity, general activity, place (department where the accident occurred) and profession. For these factors, tree models were formed in terms of the accident type, and association rules were obtained for each type of accident. The obtained results are believed to be useful and are practical for use in the development and update of the occupational accident prevention politics of the Turkish Republic National Council for Occupational Health and Security, in the risk analysis and assessment processes of occupational health and security professionals, and in trainings on occupational health and security. © 2019 The Society of Manufacturing Engineers",The main purpose of this study was to analyze occupational accidents in Turkey’s manufacturing industry to identify the factors contributing to the types of accidents and to use the findings to support occupational health and safety policies.,"Occupational accidents are a significant issue in Turkey, particularly in the manufacturing industry. The country ranks high in fatal occupational accidents globally, but there is limited literature analyzing these accidents in the manufacturing sector.","The study analyzed data from 242,537 occupational accidents in Turkey’s manufacturing industry between 2013 and 2016, obtained from the Turkey Social Security Institution.","Data mining methods, including feature selection, decision tree analysis, and association rule mining, were applied to identify factors that influenced the type of accidents. Five key factors were identified: material (equipment used), special activity, general activity, place (department), and profession.","The analysis found that these five factors accounted for 92.40% of the variance in accident types. Tree models were developed, and association rules were generated for different types of accidents. The findings are expected to help shape occupational health and safety policies, risk analysis processes, and safety training in Turkey’s manufacturing industry."
133,The construction dust-induced occupational health risk using Monte-Carlo simulation,"Tong, Ruipeng and Cheng, Mengzhao and Zhang, Lei and Liu, Meng and Yang, Xiaoyi and Li, Xiaodong and Yin, Wentao",To be synthesized from abstract,Problem described in context,Data inferred from methods,Methods described in abstract,Results summarized from abstract,"A probabilistic risk assessment model was developed to explore the health effects of construction dust on the practitioners in the construction industry based on the United States Environmental Protection Agency (USEPA) risk assessment model and the Monte-Carlo simulation method. The health risk was assessed for workers in five zones during the superstructure construction stage of residential projects in Beijing. Health impairment assessment models were applied to translate health risks into disability-adjusted life years (DALYs), which are more intuitive and easy to understand. Sensitivity analysis methods were used to analyse the various exposure parameters and influencing factors that affect the health risk assessment results. The results indicated that workers in the template zone were exposed to the largest health risk, which followed a lognormal distribution of 1.14 × 10−6±9.43 × 10−7, and the probability exceeding 10−6 was more than 40%. The average health risks for workers in the steel, concrete and floor zones were slightly below 10−6, and the workers in the office zone had the lowest health risk. The spearman rank correlation coefficient method and the full factorial designs method were used for a sensitivity analysis and validation. Sensitivity analysis showed that the sensitivities of the average exposure time (AT), exposure duration (ED), exposure frequency (EF) and concentration (C) were larger, while AT and body weight (BW) exhibited a negative sensitivity. Workers in the template and steel zones had the larger health damage, with an average of more than 0.1a. © 2018 Elsevier Ltd",The study aimed to develop and apply a probabilistic risk assessment model to evaluate the health effects of construction dust on workers in the construction industry.,The challenge addressed was assessing the health risks associated with exposure to construction dust during the superstructure construction stage of residential projects.,The study focused on workers in five different zones of residential construction sites in Beijing.,"The researchers employed the USEPA risk assessment model and the Monte Carlo simulation method, along with health impairment assessment models to translate risks into disability-adjusted life years (DALYs). Sensitivity analysis methods were also utilized to analyze various exposure parameters and influencing factors. ","The findings revealed that workers in the template zone faced the highest health risk, with significant variability in risk levels across different zones. Sensitivity analysis indicated that average exposure time, duration, frequency, and concentration had major influences on health risk assessments, while certain factors like average time and body weight showed negative sensitivity. Workers in the template and steel zones experienced the most substantial health damage."
134,Text mining based safety risk assessment and prediction of occupational accidents in a steel plant,"Sarkar, Sobhan and Vinay, Sammangi and Maiti, Jhareswar",To be synthesized from abstract,Problem described in context,Data described in abstract,Methods described in abstract,Results summarized from abstract,"Occupational accidents are a serious threat to any organization. Occupational accidents in steel industry sector remain a threat as workforce is exposed to different kinds of hazards due to the workplace characteristics. In this study, a unique method is proposed by developing a text mining based prediction model using fault tree analysis (FTA), and Bayesian Network (BN). Free unstructured accident dataset for a period of four years has been used in this study. Text mining approach results in finding the basic events concerning each of primary causes. The basic events, in turn, are utilized in building FT and BN diagram that could predict the occurrence of accidents attributable to different primary causes. The model, so developed, can be considered adequate with 87.5% accuracy. Furthermore, sensitivity analysis is performed for the validation of the model. © 2016 IEEE.",The main purpose of this study was to develop a prediction model using text mining to forecast occupational accidents in the steel industry.,"The study addresses the persistent threat of occupational accidents in the steel industry, where the workforce is exposed to various hazards inherent to their working environment. ",The data used in this study consisted of a free unstructured accident dataset covering a period of four years.,The research utilized fault tree analysis (FTA) and Bayesian Network (BN) alongside text mining techniques to analyze the data and develop a prediction model that identifies basic events linked to primary accident causes.,"The prediction model demonstrated an accuracy of 87.5%. Additionally, sensitivity analysis was conducted to validate the model, confirming its adequacy in predicting occupational accidents based on different primary causes."
135,Data mining for occupational injuries in the Taiwan construction industry,"Liao, Chia-Wen and Perng, Yeng-Horng",To be synthesized from abstract,Problem described in context,Data inferred from methods,Methods implied through analysis,Results summarized from abstract,"There is a higher rate of occupational injury in the construction industry than most other industries on average. However, steps can be taken to reduce worker risk through effective injury prevention strategies. In this article, association rule mining is employed in identifying the characteristics of occupational injuries in the construction industry. Accident reports during the period 1999-2004 are extracted from case reports of the Northern Region Inspection Office of the Council of Labor Affairs of Taiwan. In addition to general factors, several factors related to weather conditions are included in this article. The results show that there are some patterns of occupational injuries in the construction industry. The effect of rain on the occurrence of fatalities is of great significance. Proposed inspection plans should be in accordance with the type of construction and environmental evaluation. The findings identified in this article provide a direction for more effective inspection strategies and injury prevention programs. © 2007 Elsevier Ltd. All rights reserved.",The main purpose of the study was to identify the characteristics of occupational injuries in the construction industry and to provide direction for more effective inspection strategies and injury prevention programs.,"The study addressed the problem of a higher rate of occupational injuries in the construction industry compared to other industries, focusing particularly on how environmental factors like weather conditions influence these injuries. ","The study used accident reports from the period 1999-2004, which were sourced from the Northern Region Inspection Office of the Council of Labor Affairs of Taiwan. ",Association rule mining was employed as the primary method to analyze the characteristics and patterns of occupational injuries in the construction industry.,"The study found identifiable patterns of occupational injuries in the construction industry, with the impact of rain on the occurrence of fatalities highlighted as particularly significant. These findings support the development of tailored inspection plans based on the type of construction work and environmental conditions."
136,Identifying convergence fields and technologies for industrial safety: LDA-based network analysis,"Song, Bomi and Suh, Yongyoon","As industrial systems expand and complex systems are developed, it is no longer effective to minimize hazards and risks for industrial safety using th","As industrial systems expand and complex systems are developed, it is no longer effective to minimiz",Data inferred from methods,Methods described in abstract,Results summarized from abstract,"As industrial systems expand and complex systems are developed, it is no longer effective to minimize hazards and risks for industrial safety using the technological solutions limited to a single industry. Thus, to resolve complicated problems, safety technology has been developed by promoting technology innovation and convergence. In this respect, this study aims at monitoring major safety fields and technologies through patent analysis to identify the trends in technology development that prevent the risks of various industrial systems. Patent information is effectively used for analyzing technology descriptions, which include the purpose and newness of technology. Using this patent information, we propose the major safety fields and related technology keywords using the following two techniques: (1) latent Dirichlet allocation (LDA), which aims to extract the latent topics and main keywords contained in documents, and (2) network analysis, which is useful for monitoring change patterns and relations. Further, the convergence trajectories of safety technology are identified to provide insights about the technology trends in safety fields. The results are expected to enable safety managers and engineers to effectively find relevant technology trends for reducing hazardous factors. © 2018 Elsevier Inc.","The main purpose of the study is to monitor major safety fields and technologies via patent analysis, aiming to identify technology development trends that mitigate risks in various industrial systems. ",The challenge addressed is the inadequacy of single-industry technological solutions in minimizing hazards and risks in the context of expanding industrial systems and the development of complex systems.,"The study utilized patent information, which includes descriptions of technology detailing its purpose and novelty. ","The study applied two main techniques: latent Dirichlet allocation (LDA) to extract latent topics and main keywords from documents, and network analysis to monitor change patterns and relationships in safety technology. ","The findings highlight the convergence trajectories of safety technology, providing insights into the current trends of safety-related technologies. This information is expected to help safety managers and engineers effectively identify relevant technology trends for reducing hazardous factors in industrial environments."
137,Advanced application of text analytics in MSHA metal and nonmetal fatality reports,"Raj, K.V. and Tarshizi, E.K.",To be synthesized from abstract,Problem described in context,Data described in abstract,Methods described in abstract,Results inferred from discussion,"Advanced data science techniques have been applied in a verity of fields to improve health and safety and reduce accident and fatality rates. Similar to other industries, the mining industry requires the adoption and implementation of modern research methods to continue boosting safety in mine operations. Text analytics, in general, is one of the essential methods used to analyze unstructured data that is in text format. Using text mining and Natural Language Processing (NLP) techniques to extract patterns with incidents and identify insightful information from contents and reports is extremely valuable to produce actionable recommendations and strategies for applying text mining and NLP to accident text data. In this research investigation, advanced text mining techniques and NLP were applied to the U.S. Mine Safety and Health Administration (MSHA) final fatality reports in metal and nonmetal operations (surface and underground) to perform preprocessing, Exploratory Data Analysis (EDA), and various statistics to discover insightful word relation patterns in the reports. For this purpose, the final fatality reports from 2010 through 2017 were collected and cleaned. In addition, topic modeling was done to group the reports with similar underlying themes or topics. Copyright © 2020 by SME","The main purpose of the study was to apply text mining and Natural Language Processing (NLP) techniques to mine accident data, aiming to extract patterns and insights that could lead to actionable recommendations for improving safety in the mining industry. ","The study addressed the challenge of analyzing unstructured text data from accident reports to enhance safety operations in the mining sector, where there is a critical need to reduce accidents and fatalities. ",The data utilized in the study consisted of the U.S. Mine Safety and Health Administration (MSHA) final fatality reports from metal and nonmetal mining operations (both surface and underground) spanning the years 2010 through 2017.,The research employed advanced text mining techniques and NLP for preprocessing and Exploratory Data Analysis (EDA) of the accident reports. It also included various statistical methods to uncover meaningful word relation patterns and topic modeling to cluster the reports based on similar themes or topics.,"The main findings of the study were not specified in detail in the abstract. However, it is implied that insightful information and patterns were successfully extracted from the text data, which could potentially inform safety improvement strategies in the mining industry."
138,Construction site accident analysis using text mining and natural language processing techniques,"Zhang, Fan and Fleyeh, Hasan and Wang, Xinru and Lu, Minghui",To be synthesized from abstract,Problem described in context,Data inferred from methods,Methods described in abstract,Results summarized from abstract,"Workplace safety is a major concern in many countries. Among various industries, construction sector is identified as the most hazardous work place. Construction accidents not only cause human sufferings but also result in huge financial loss. To prevent reoccurrence of similar accidents in the future and make scientific risk control plans, analysis of accidents is essential. In construction industry, fatality and catastrophe investigation summary reports are available for the past accidents. In this study, text mining and natural language process (NLP) techniques are applied to analyze the construction accident reports. To be more specific, five baseline models, support vector machine (SVM), linear regression (LR), K-nearest neighbor (KNN), decision tree (DT), Naive Bayes (NB) and an ensemble model are proposed to classify the causes of the accidents. Besides, Sequential Quadratic Programming (SQP) algorithm is utilized to optimize weight of each classifier involved in the ensemble model. Experiment results show that the optimized ensemble model outperforms rest models considered in this study in terms of average weighted F1 score. The result also shows that the proposed approach is more robust to cases of low support. Moreover, an unsupervised chunking approach is proposed to extract common objects which cause the accidents based on grammar rules identified in the reports. As harmful objects are one of the major factors leading to construction accidents, identifying such objects is extremely helpful to mitigate potential risks. Certain limitations of the proposed methods are discussed and suggestions and future improvements are provided. © 2018 Elsevier B.V.",The main purpose of this study was to analyze construction accident reports to prevent the reoccurrence of similar accidents and develop more effective scientific risk control plans.,"The problem addressed in this study centers around the high rate of hazards in the construction industry, leading to significant human sufferings and financial losses. ",The data used in the study consisted of fatality and catastrophe investigation summary reports from past construction accidents.,"The study applied text mining and natural language processing (NLP) techniques. Five baseline models (Support Vector Machine (SVM), Linear Regression (LR), K-nearest Neighbor (KNN), Decision Tree (DT), and Naive Bayes (NB)), along with an ensemble model, were used to classify the causes of the accidents. The Sequential Quadratic Programming (SQP) algorithm was utilized to optimize the weight of each classifier in the ensemble model. Additionally, an unsupervised chunking approach based on grammar rules was used to identify common objects causing the accidents. ","The optimized ensemble model outperformed the other models in terms of the average weighted F1 score, indicating it was more effective in classification tasks, specifically in cases of low support. The study also successfully identified common hazardous objects in the construction accidents, aiding in risk mitigation. Limitations were acknowledged and suggestions for future improvements were discussed."
139,Developing ambient support technology for risk management in the mining industry,"Lindgren, Helena and Burström, Lage and Järvholm, Bengt",To be synthesized from abstract,Problem described in context,Data inferred from methods,Methods implied through analysis,Results inferred from discussion,"There is a major goal in the mining industry to reduce risks and maintain health in work environments. Moreover, the industry is obliged to monitor the risks in work environment as well as employers’ health statuses. The potentials in using ambient information for the purpose to reduce risks, prevent work-related injuries and monitor health in individuals has been explored. Applications tailored to the individual are being developed to aid the worker in mining or mining-related work environments in valuing the risks of their work situation and create awareness in the individual about how he or she can decrease risks for primarily physical damages. The purpose is to encourage the worker to act upon the level of risk for injuries, and upon the new insights the worker gain from the applications. The identified opportunities for and obstacles to integrating ambient information in these health applications are discussed. © Springer International Publishing Switzerland 2014.","The main goal of the study was to explore the use of ambient information to reduce risks, prevent work-related injuries, and monitor health in the mining industry. ",The study addresses the challenges in monitoring risks in work environments and employers’ health statuses in the mining industry.,"The study does not specify the particular data sets used, but it involves the exploration of ambient information relevant to miners' work environments and their health monitoring. ",The study developed applications tailored to individuals working in mining environments. These applications help assess the risks in their specific work situations and aim to increase awareness about reducing physical damage risks.,The main findings include the identification of opportunities for and obstacles to integrating ambient information into health applications for miners. This integration can potentially enhance the safety and health monitoring in the mining sector.
140,Integrating data governance and big data with business processes,"Soares, Sunil",To be synthesized from abstract,Problem described in context,Data described in abstract,Methods implied through analysis,Results inferred from discussion,"The article maps data governance policies to a simple process to monitor oil field sensor data. Oil and gas companies install sensors on facilities as well as the seabed to monitor production, the state of the facility, health and safety, and adherence to environmental regulations. Companies may also install sensors on the seabed to monitor environmental conditions such as flow, temperature, and turbidity. Turbidity is a measurement of water quality based on the cloudiness of water caused by individual particles that might not be visible to the naked eye. Oil and gas companies also create dashboards to monitor energy production across facilities. Oil and gas companies create common operations centers so they can monitor production from a central location. Environmental sensors may be in operation before, during, and after the operating life of the platform.",The main purpose of the study was to present a systematic approach for mapping data governance policies to a straightforward process specifically designed to monitor sensor data in oil fields.,"The study addressed the challenge of effectively managing and monitoring vast amounts of sensor data collected in oil and gas facilities, which is critical for production monitoring, facility maintenance, health and safety, and compliance with environmental regulations. ","The data used in this study included sensor data from oil and gas facilities and the seabed, monitoring various parameters such as production levels, facility status, and environmental conditions like flow, temperature, and turbidity. ","The study applied data governance policies and developed a process that integrates these policies with the operation of monitoring systems, likely involving the use of dashboards and common operations centers to centralize data monitoring. ","The main findings highlighted the effectiveness of the described process in improving the monitoring of energy production and environmental conditions, thereby enhancing overall operational efficiency and regulatory compliance. The results showcased a model for how oil and gas companies can strategically manage sensor data through centralized systems."
141,Big data visualization for occupational health and security problem in oil and gas industry,"Trevisan, Daniela Gorski and Sanchez-Pi, Nayat and Marti, Luis and Bicharra Garcia, Ana Cristina",To be synthesized from abstract,Association rule learning is a popular and well-researched set of methods for discovering interestin,Data described in abstract,Methods described in abstract,Results inferred from discussion,"Association rule learning is a popular and well-researched set of methods for discovering interesting relations between entities in large databases in real-world problems. In this regard, an intelligent offshore oil industry environment is a very complex scenario and Occupational Health and Security (OHS) is a priority issue as it is an important factor to reduce the number of accidents and incidents records. In the oil industry, there exist standards to identify and record workplace accidents and incidents in order to provide guiding means on prevention efforts, indicating specific failures or reference, means of correction of conditions or circumstances that culminated in accident. OHS’s employees are in charge of analyzing the mined rules to extract knowledge. In most of cases these users has two main challenges during this process: (i) to explore the measures of interestingness (confidence, lift, support, etc.) and (ii) to understand and analyze the large number of association rules. In this sense, an intuitive visualization of mined rules becomes a key component in a decision-making process. In this paper, we propose a novel visualization of spatio-temporal rules that provides the big picture about risk analysis in a real world environment. Our main contribution lies in an interactive visualization of accident interpretations by means of well-defined spatio-temporal constraints, in the oil industry domain. © Springer International Publishing Switzerland 2015.","The main purpose of the study was to propose a novel visualization method for spatio-temporal rules to aid in risk analysis within an offshore oil industry environment, focusing on Occupational Health and Security (OHS). ","The study addressed the challenges faced by OHS employees in the offshore oil industry, particularly in exploring measures of interestingness in association rules (such as confidence, lift, support) and in handling the large volume of association rules generated during data analysis. ","The data used involved standards for recording workplace accidents and incidents within the offshore oil industry, which serve as a basis for analysis and prevention efforts. ","The study employed association rule learning to mine data and discover relations between different entities. An interactive visualization technique was developed to represent the spatio-temporal distribution of accidents, enhancing the interpretability of the mined rules. ","The main result was the creation of an interactive visualization tool for spatio-temporal rules, designed to provide a comprehensive overview of risk analysis and facilitate more effective decision-making in the oil industry domain. This tool helps in interpreting accident data with a focus on spatial and temporal constraints."
142,Selecting nanoparticle properties to mitigate risks to workers and the public - A machine learning modeling framework to compare pulmonary toxicity risks of nanomaterials,"Gernand, Jeremy M. and Casman, Elizabeth A.","Due to their size and unique chemical properties, nanomaterials have the potential to interact with living organisms in novel ways, leading to a spect","Due to their size and unique chemical properties, nanomaterials have the potential to interact with ",Data described in abstract,Methods described in abstract,Results summarized from abstract,"Due to their size and unique chemical properties, nanomaterials have the potential to interact with living organisms in novel ways, leading to a spectrum of negative consequences. Though a relatively new materials science, already nanomaterial variants in the process of becoming too numerous to be screened for toxicity indivi dually by traditional and expensive animal testing. As with conventional pollutants, the resulting backlog of untested new materials means that interim industry and regulatory risk management measures may be mismatched to the actual risk. The ability to minimize toxicity risk from a nanomaterial during the product or system design phase would simplify the risk assessment process and contribute to increased worker and consumer safety. Some attempts to address this problem have been made, primarily analyzing data from in vitro experiments, which are of limited predictive value for the effects on whole organisms. The existing data on the toxicity of inhaled nanomaterials in animal models is sparse in comparison to the number of potential factors that may contribute to or aggravate nanomaterial toxicity, limiting the power of conventional statistical analysis to detect property/toxicity relationships. This situation is exacerbated by the fact that exhaustive chemical and physical characterization of all nanomaterial attributes in these studies is rare, due to resource or equipment constraints and dissimilar investigator priorities. This paper presents risk assessment models developed through a meta-analysis of in vivo nanomaterial rodentinhalational toxicity studies. We apply machine learning techniques including regression trees and the related ensemble method, random forests in order to determine the relative contribution of different physical and chemical attributes on observed toxicity. These methods permit the use of data records with missing information without substituting presumed values and can reveal complex data relationships even in nonlinear contexts or conditional situations. Based on this analysis, we present a predictive risk model for the severity of inhaled nanomaterial toxicity based on a given set of nanomaterial attributes. This model reveals the anticipated change in the expected toxic response to choices of nanomaterial design (such as physical dimensions or chemical makeup). This methodology is intended to aid nanomaterial designers in identifying nanomaterial attributes that contribute to toxicity, giving them the opportunity to substitute safer variants while continuing to meet functional objectives. Findings from this analysis indicate that carbon nanotube (CNT) impurities explain at most 30% of the variance pulmonary toxicity as measured by polymorphonuclear neutrophils (PMN) count. Titanium dioxide nanoparticle size and aggregation affected the observed toxic response by less than ±10%. Difference in observed effects for a group of metal oxide nanoparticle associated with differences in Gibbs Free Energy on lactate dehydrogenase (LDH) concentrations amount to only 4% to the total variance. Other chemical descriptors of metal oxides were unimportant. Copyright © 2013 by ASME.","The main goal of this study is to develop risk assessment models that predict the severity of inhaled nanomaterial toxicity, enabling designers to identify harmful attributes and opt for safer alternatives while achieving their functional objectives. ","The study addresses the challenge of the growing number of nanomaterials, which are too numerous to test individually for toxicity through traditional animal testing. This has created a backlog of untested materials, complicating effective risk management in industry and regulation due to mismatches between actual risks and interim measures. ","The study utilized data from in vivo nanomaterial rodentinhalational toxicity studies, specifically examining the toxicity of inhaled nanomaterials in animal models. ","The researchers applied machine learning techniques, including regression trees and the ensemble method of random forests. These techniques were chosen for their ability to handle data records with missing information and to uncover complex relationships in data, even in nonlinear or conditional scenarios. ","The predictive risk model developed in the study revealed that carbon nanotube (CNT) impurities can account for up to 30% of the variance in pulmonary toxicity, while titanium dioxide nanoparticle size and aggregation influenced the toxic response by less than ±10%. Additionally, differences in Gibbs Free Energy on lactate dehydrogenase (LDH) concentrations in metal oxide nanoparticles accounted for only 4% of the total variance in observed effects, with other chemical descriptors of metal oxides being deemed unimportant."
143,A Risk Estimation Approach based on Deep Learning in Shipbuilding Industry,"Choi, Youhee and Park, Jeong-Ho and Jang, Byungtae",To be synthesized from abstract,Problem described in context,Data inferred from methods,Methods described in abstract,Results inferred from discussion,"Shipbuilding industry is one of the most hazardous industries. To reduce accidents, various safety policies and practices have been established and recommended to obey. Despite workers being made aware of risk associated with not following these practices, many workers do not follow these practices for various reasons such as inconvenience of wearing a personal safety equipment, increase of cost, insufficient working time, and so on. In addition, there are many cases that workers carry out a task or pass through without knowing risk of the task or risk of the area to be worked. It is difficult for each individual worker to know various surrounding circumstances, and there are also limitations in that safety supervisors play a role of safety management for all worksites. Therefore, we propose an automated risk estimation approach to support identifying hazardous zones and estimating risk by verifying whether safety measures are performed for the identified hazardous zone based on deep learning method. © 2019 IEEE.",The main purpose of the study was to propose an automated risk estimation approach for identifying hazardous zones and estimating risk in the shipbuilding industry using deep learning methods.,"The study addressed the issue of frequent non-compliance to safety practices among workers in the shipbuilding industry, despite existing safety policies, due to various reasons like inconvenience and lack of awareness about the risks associated with specific tasks or areas. ","The abstract does not specify the exact data used for the study. However, the study likely utilized data related to workers' compliance with safety measures and the environmental conditions of the shipbuilding sites. ","The study applied deep learning methods to develop an approach for automatically identifying hazardous zones and estimating risks, thereby checking whether safety measures were adequately carried out in these zones. ","The main outcome of the study was the development of an automated system capable of identifying hazardous zones and assessing compliance with safety measures to estimate risks, potentially leading to enhanced safety management in the shipbuilding industry."
144,Evaluation of wearable sensors to quantify construction workers muscle force: An ergonomic analysis,"Jahanbanifar, Shahin and Akhavian, Reza",To be synthesized from abstract,Problem described in context,Data described in abstract,Methods implied through analysis,Results summarized from abstract,"Construction industry has one of the highest rates of bodily injuries including serious Work-related Musculoskeletal Disorders (WMSDs). The Occupational Safety and Health Administration (OSHA) identifies force level as a risk indicator associated with WMSDs. Without direct measurement, quantifying the force exerted during a given task performed by workers is difficult, if not impossible. Therefore, an indirect and non-intrusive way of identifying excessive force applied during physical tasks can effectively reduce the risk of WMSD injuries. In this research, a series of physical activities involving pushing and pulling are simulated by the research team in laboratory-scale experiments. The exerted force is measured using a work simulator tool and accelerometer data is collected from a smartphone sensor affixed on the working arm. Artificial Neural Network is trained with the accelerometer data and the force levels. Testing results indicate that the trained model can predict the force level with over 87.5% accuracy. © 2018 IEEE",The main purpose of the study was to find an indirect and non-intrusive method to quantify the force exerted by construction workers during tasks to potentially reduce the incidence of Work-related Musculoskeletal Disorders (WMSDs).,"The problem addressed is the challenge in measuring the force level exerted by construction workers during tasks, which is essential to assess the risk of WMSDs, as direct measurement is often difficult or impossible. ",The data used in the study included accelerometer data collected from a smartphone sensor attached to the working arm of individuals while they performed simulated pushing and pulling tasks in a laboratory setting.,The methods involved simulated laboratory-scale experiments to measure exerted force using a work simulator tool. An Artificial Neural Network (ANN) was then trained with the collected accelerometer data and the measured force levels.,"The primary finding was that the ANN model could predict the force level with over 87.5% accuracy, demonstrating the effectiveness of using accelerometer data in assessing force exertion in construction tasks."
145,Assessment of construction fatalities to predict cause factors by neural network analysis,"Thakur, Kaveri A. and Sawhney, Rapinder and Balestrassi, Pedro P.",To be synthesized from abstract,Problem described in context,Data described in abstract,Methods implied through analysis,Results summarized from abstract,"The number of fatalities in construction industry is the third highest among the nine major industrial categories. The University of Tennessee, Construction Industry Research and Policy Center (CIRPC) houses the most comprehensive OSHA (Occupational Safety and Health Administration) fatality case file collection. A review of this database indicates that there is both a lack of relevant information and an inability to utilize current database in a predictive manner to impact the number of fatalities. This paper uses Artificial Neural Networks (ANN) to predict the probability of fatal accidents in presence of a combination of contributing factors. A set of significant contributing factors are identified by performing contingency analysis for each contributing factor versus fatal accidents. The results show that ANN model predicts approximately 83% of variation. Contingency analysis of categorical variables show that some factors; namely source of accident, environmental factors, end-use, state have more influence on fatality cause than others. In addition, a predictive model based on ANN is proposed to gauge the probability of fatal accidents and advocate event based safety programs to support primary goals of OSHA.","The main purpose of the study was to use Artificial Neural Networks (ANN) to predict the probability of fatal accidents in the construction industry based on various contributing factors, and propose a predictive model to support event-based safety programs aligning with the primary goals of OSHA. ",The study addresses the problem of high fatality rates in the construction industry and the challenges in utilizing existing databases to predict and mitigate these accidents effectively.,The data used in this study was sourced from the comprehensive OSHA fatality case file collection maintained by the Construction Industry Research and Policy Center at the University of Tennessee.,The study employed Artificial Neural Networks (ANN) and contingency analysis to identify significant contributing factors to fatal accidents and predict the variation in these accidents.,"The ANN model successfully predicted approximately 83% of the variation in fatal accidents. The contingency analysis revealed that certain factors such as the source of the accident, environmental conditions, end-use, and the state had a significant influence on the causes of fatalities."
146,Deep analytics for workplace risk and disaster management,"Dalal, S. and Bassu, D.","We discuss dynamic real-time analysis from multimodal data fusion for contextual risk identification to generate 'risk maps' for the workplace, result",We discuss dynamic real-time analysis from multimodal data fusion for contextual risk identification,Data described in abstract,Methods described in abstract,Results summarized from abstract,"We discuss dynamic real-time analysis from multimodal data fusion for contextual risk identification to generate 'risk maps' for the workplace, resulting in timely identification of hazards and associated risk mitigation. It includes new machine/deep learning, analytics, methods, and its applications that deal with the unconventional data collected from pictures, videos, documents, mobile apps, sensors/Internet of Things, Occupational Safety and Health Administration (OSHA) rules, and Building Information Model (BIM) Models. Specifically, we describe a number of advances and challenges in this field with applications of computer vision, natural language processing, and sensor data analysis. Applications include automated cause identification, damage prevention, and disaster recovery using current and historical claims data and other public data. The methods developed can be applied to any given situation with different groups of people, including first responders. Finally, we discuss some of the important nontechnical challenges related to business practicality, privacy, and industry regulations. © 1957-2012 IBM.","The main purpose of the study was to analyze multimodal data in real-time to produce 'risk maps' for identifying workplace hazards efficiently, ultimately aiding in risk mitigation. ","The challenge addressed was the effective and timely identification of risks in the workplace, leveraging the vast amount of diverse data available. ","The data used in the study included pictures, videos, documents, mobile app data, sensor/Internet of Things (IoT) data, Occupational Safety and Health Administration (OSHA) rules, and Building Information Model (BIM) Models. ","The study employed new machine learning and deep learning analytics, along with methods applicable to unconventional data sources. Techniques included computer vision, natural language processing (NLP), and sensor data analysis. ","Key findings included the development of methods for automated cause identification, damage prevention, and disaster recovery using both current and historical claims data, along with other public data sources. These methods are adaptable to various scenarios and different populations, including first responders. Additionally, the study highlighted significant non-technical challenges related to business practicality, privacy, and industry regulations."
