Objectives,Problem,Data,Methods_Techniques,Results
The main goal of this study was to identify critical contributing factors to the severity of occupational heat-related injuries (HRIs). ,The problem addressed is the increasing incidence of hazardous heat exposures in the workplace and the consequent rise in HRIs due to climate change. ,The study utilized historical injury reports provided by the Occupational Safety and Health Administration (OSHA). ,Text mining and model-free machine learning methods were employed to identify factors contributing to HRI severity. The Multinomial Logit Model (MNL) was used to explore how various impact factors relate to HRI severity. ,"The study found that middle-aged, older, and male workers in sectors like construction, service, manufacturing, and agriculture face higher risks of fatal HRIs. High heat indices and secondary injuries such as collapses, heart attacks, and falls were linked to increased severity of HRIs. Conversely, symptoms such as dehydration, dizziness, cramps, faintness, and vomiting appeared to reduce the likelihood of fatal outcomes."
" The main purpose of this study is to investigate the impact of human factors (HFs) that contribute to human error (HE) in the fireworks industry (FI), which leads to disasters, explosions, and accidents. Additionally, the study aims to propose a machine learning-based prediction model and an expert system (ES) to mitigate HE risks and enhance workplace safety. ", The primary challenge addressed is the frequent occurrence of accidents and explosions in the fireworks industry due to human error. The study focuses on identifying the correlation between unsafe behaviors and influential factors to prevent such incidents. ,"Data for the study were gathered from questionnaire responses of 500 participants from the fireworks and match industries in Tamil Nadu. The Chief Inspectorate of Factories in Chennai and the Training Centre for Industrial Safety and Health in Sivakasi, Tamil Nadu, India, also contributed to collecting accident datasets for analysis. "," The study utilized machine learning techniques, analyzing the data by reviewing and coding questionnaire responses. It compared various machine learning models, including Support Vector Machine (SVM), Random Forest (RF), Naïve Bayes (NB), and Extreme Gradient Boosting (XGBoost) to measure and optimize classification accuracy. "," The main findings include significant correlations between individual behaviors and the likelihood of human error occurrences. The machine learning model performance showed classification accuracies of 86.45% (SVM), 91.6% (RF), 92.1% (NB), and the highest at 94.41% with XGBoost. These results support the introduction of an expert system aimed at reducing human error risks and establishing a safer work environment in the fireworks and match industries."
The main purpose of this study is to explore the use of AI and ML in predictive analytics to assess stress levels among employees in the private insurance industry and to develop proactive interventions for those identified as high risk. ,The study addresses the increasing levels of workplace stress in the private insurance sector and the necessity to pinpoint its root causes and predict stress patterns effectively. ,The study uses historical data related to stress events among private insurance industry employees to analyze and forecast stress patterns alongside personal factors affecting these levels. ,"The research applies AI and ML techniques for stress event forecasting, recognition of patterns in historical data, and identification of early stress indicators. It also investigates AI system biases, data privacy, and ethical concerns related to the implementation of these technologies. ","The study finds that AI-driven algorithms are effective in identifying employees at high risk of stress and enabling timely interventions to mitigate negative effects. Additionally, the exploration of AI and ML in this context demonstrates a significant potential to transform the insurance industry by improving employee health and creating positive workplaces."
The main goal of this study was to develop a state-of-the-art text classification model to efficiently extract knowledge from and categorize construction accident narratives. ,"The study addressed the challenge of high-precision classification of construction accident narratives being labor-intensive, requiring extensive domain expertise, and previous automated text classification models performing poorly due to issues like lack of quality datasets, poor semantic interpretation, and outdated model architectures. ","The data used in this study included 1,000 accident narratives from the Occupational Health and Safety Administration (OSHA), as well as a larger set of 4,770 OSHA narratives labeled by another official system. ",The study employed a deep-learning text classification model based on the pretrained instruction-based omnifarious representations (INSTRUCTOR) architecture. It incorporated a class-imbalance treatment technique involving focal loss and weighted random sampling to focus the model on challenging samples and minority classes. ,"The newly developed INSTRUCTOR-CIT model achieved an F1 score of 82.22% on the initial dataset of 1,000 narratives and 94.84% on the larger dataset of 4,770 narratives, surpassing existing methods in terms of preprocessing needs and accuracy. These results underscored the model's generality and efficiency in handling unstructured data in the construction industry."
N/A,N/A,N/A,N/A,N/A
"The main purpose of the study was to develop Demeter, an application designed to collect safety data about farm hazards and produce risk analysis and mitigation reports to improve safety for agriculture workers. ","The agriculture industry faces a critical lack of novel techniques for analyzing and mitigating risks among its workers, with existing datasets and tools failing to offer immediate or long-term risk mitigation advice, or to consider fluctuating daily hazards. ",The study utilized safety data specifically related to hazards present in agricultural settings. ,The study applied formula-based risk calculations and deployed state-of-the-art graph neural networks (GNNs) for performing detailed risk analysis and proposing mitigation strategies. ,"The results of the study showed that formula-based risk calculations achieved a mean absolute error (MAE) of 0.2110, while the GNNs attained an accuracy of 94.9%, a precision of 0.3521, and a recall of 0.8333, indicating a high potential for reducing injuries and fatalities among agriculture workers by alerting them to daily risks and suggesting necessary safety measures."
The main purpose of the study was to propose a novel approach for posture risk assessment using low-cost motion capture technology combined with artificial intelligence. ,"The study addressed the challenge of assessing working posture risks in the logistics delivery industry using cost-effective methods, as low-cost assessment techniques for human motion injuries are rarely reported in this field. ","The data used in the study consisted of red-green-blue (RGB) and depth images of a subject performing 24 postures, captured using Kinect technology. ","The methods applied involved using a Kinect to capture RGB and depth images, from which human joints were extracted using artificial intelligence. These images were then registered to compute the actual three-dimensional (3D) human joint angles. ","The main findings revealed a significant decrease in the root mean square error (RMSE) of the joint angle measurements. The study also validated the proposed method against two common evaluation systems for working posture injuries: the Rapid Upper Limb Assessment (RULA) and the Ovako Working Posture Analysis System (OWAS), showing consistency with the results of commercial ergonomic evaluation software."
"The main purpose of the study was to propose and evaluate an economical and scalable machine learning-enabled egocentric postural ergonomic assessment (EPEA) system, which integrates a fisheye camera mounted to a hard hat for assessing construction workers' postural ergonomics. ",The study addresses the challenge of high risks of work-related musculoskeletal disorders (WMSDs) among construction workers due to their involvement in extensive and repetitive physically demanding activities. Traditional methods using multiple-view motion tracking systems or fixed-position cameras are resource-intensive and face occlusion issues. ,The data used in this study included the capture and analysis of construction workers' postures through an egocentric (first-person) perspective using the fisheye camera mounted on hard hats during multiple construction operational tasks. ,The proposed system used a convolutional 3D pose estimation neural network to identify and assess workers' postural ergonomics. This machine learning approach was leveraged in the context of an egocentric postural ergonomic assessment (EPEA) system. ,The study found that the EPEA system could accurately identify key joint parts of the users and classify different postures effectively. The promising results confirmed the usability and feasibility of the proposed system in helping construction workers identify potential WMSD risks during repetitive and forceful construction tasks.
"The main purpose of this study is to explore how AI models can be utilized to detect anomalies, recognize features, and employ rule-based recognition of human postures, with the goal of reducing industrial hazards. ","The persistent problem of dangerous accidents in hazardous industries is addressed, with a specific focus on incidents like electrocution, falls from heights, and collisions with moving vehicles, which are common and often result in Musculoskeletal Disorders. ","The study leverages data sets compiled for ergonomic analysis, aiming to foster a broader spectrum of solutions for safety improvements. ","This article reviews the use of AI models for anomaly detection, feature recognition, and rule-based human posture recognition, alongside methodologies for collecting data sets useful for ergonomic analysis. ","The study primarily highlights how the application of AI technologies and data collection methods can potentially lead to a reduction in industrial hazards, thereby enhancing workplace safety in hazardous sectors."
The main purpose of this study was to develop a framework that combines vision-based deep learning (VBDL) and ontology reasoning to identify hazardous work situations and support long-term risk assessment and control in industrial settings. ,"The study addresses the issue of severe workplace injuries and the resulting absenteeism, which impacts management, finances, and overall organizational operations. ","The study utilized real-time workplace data gathered using a vision-based setup, which was then semantically modeled and used for evaluation. ",The methods applied include Vision-Based Deep Learning (VBDL) for real-time data retrieval and Knowledge Representation and Reasoning (KRR) for semantic modeling. The study also introduces a novel ontology for workers' health and safety and a multi-agent framework to ensure interoperability among various components. SPARQL and reasoning rules were used for temporal analysis and overlapping conditions. ,"The evaluation over five days demonstrated the framework's effectiveness by producing 8395 axioms from 1210 individuals within the ontology. This allowed detailed temporal analysis of hazardous conditions, focusing on understanding and explaining injuries related to overexertion, and physical and environmental factors."
The main purpose of the study was to investigate the awareness and readiness of Nigerian construction organizations to adopt machine learning (ML) in specific application areas within the industry. ,The study addressed the challenge of understanding the level of awareness and preparedness of construction organizations in Nigeria towards adopting ML technologies in their operations. ,"The study used data collected from construction professionals in Nigeria through a well-structured questionnaire distributed electronically using the snowball sampling method, resulting in 143 valid responses. ","The study involved a comprehensive literature review to identify ML application areas, followed by the development and distribution of a structured questionnaire. Data analysis was conducted using descriptive and inferential analytical tools. ","The main findings indicated that the critical application areas of ML in the Nigerian construction industry with higher awareness and adoption readiness include Health and Safety prediction and management, Waste management, Prediction and management of construction costs, Risk Management, Structural Health Monitoring and Prediction, and Building Life-Cycle assessment and management. Additionally, there was a significant statistical difference in participant opinions regarding the awareness and adoption readiness across various ML application areas, highlighting areas where the industry is most prepared to integrate ML solutions."
"The main purpose of this study was to provide a systematic review to clarify the current research status, existing problems, and future insights into evolving data-driven technologies in accident prevention. ",The challenge addressed was the need to examine the real-world need for accident prevention and the advantages of emerging data-driven methodologies to better integrate them into workplace safety. ,"The data analyzed in the study included 194 published studies that were evaluated from four perspectives: Paradigm, Model, Data Source, and Purpose. ","The method applied was a systematic review of relevant literature to identify gaps, barriers, and the current status of data-driven technologies in accident prevention. ","The study revealed several key findings: 1. There is a lack of a systematic framework to guide the application of Big Data in safety. 2. Few previous studies have considered model interpretability. 3. There is a need for more proactive data integration into accident analysis. 4. Safety-related data and domain knowledge need further integration. 5. Some recent data-driven techniques remain unexplored in safety science. Additionally, the study discussed future research opportunities based on these findings."
The study aimed to use a machine learning approach to eliminate subjective bias from traditional observational methods in ergonomic assessments and identify risk patterns for work-related musculoskeletal disorders (WMSDs) among sewing machine operators. ,The main challenge addressed is the instability and imprecision associated with traditional observational methods used in ergonomic assessments of working postures. ,"The data utilized in the study included 11,211 samples of continuous working postures from sewing machine operators, collected through computer vision-based technology from on-site working videos. ",The study introduced a decision tree analysis scheme for ergonomic assessment in working postures (DTAS-EAWP). This involved using computer vision to detect body movement angles and generate a dataset of risk scores using Rapid Entire Body Assessment (REBA) criteria. Data mining techniques employing the WEKA software and C4.5 algorithm were used to construct a representative decision tree (RDT) which identified various risk levels and critical body segments that significantly influence WMSD risk. ,"The DTAS-EAWP successfully calculated final REBA scores, constructed 13 decision rules within the RDT with over 95% prediction accuracy and 83% path coverage detailing risk tendencies in working postures. Critical body segments impacting risk levels, notably the lower and upper arms, were identified. This machine learning approach proved feasible for comprehensively exploring decision rules in ergonomic risk assessment of working postures among sewing machine operators."
N/A,N/A,N/A,N/A,N/A
The main goal of this study was to propose and evaluate a fuzzy logic-based decision support system that assists practitioners in automatically assessing the ergonomic performance of work systems in the modular construction industry. ,"The study addressed the issue of frequent ergonomic risks in the modular construction industry, which often lead to injuries and decreased productivity. A significant challenge is that existing ergonomic risk assessments are often overlooked by organizations due to the absence of convenient assessment tools and sufficient knowledge. ","The study utilized data from a real-world case study in a modular construction facility, including the facility's occupational injury reports. ","The study employed fuzzy logic to create a decision support system comprising eight fuzzy expert systems. These systems generate a composite risk score known as the ""ergonomic risk indicator,"" which reflects the overall level of ergonomic risk in work systems. The decision support system evaluates various risk factors such as physical, environmental, and sensory elements. ","The proposed decision support system was successful in providing a comprehensive assessment of ergonomic risk as evidenced by its performance in the real-world case study, where results correlated with actual injury reports. The system effectively generated a composite risk score that indicates the overall ergonomic risk, confirming its effectiveness and utility in enhancing health and safety in the modular construction industry."
The main purpose of the study was to explore the application of machine learning techniques in predicting risks and preventing incidents in workplaces. ,The study addresses the challenge of incident and occupational hazard prevention at the workplace through effective risk prediction. ,The study utilized data on past incidents to analyze and predict future risks. ,"The methods analyzed in this study included logical regression and classification, which were used to predict risks based on the available data. ","The findings indicated that machine learning significantly enhances the accuracy of risk prediction, thereby facilitating more effective incident prevention strategies."
N/A,N/A,N/A,N/A,N/A
"The main purpose of the study was to explore the potential of deep learning in classifying and recognizing the mental load in workers engaged in hazardous operations, aiming to enhance occupational suitability, psychological training, and personnel adjustments in high-risk industries. ","The study addresses the problem of how the psychophysiological state of workers in high-risk industries, influenced by mental load, impacts work efficiency, overall well-being, and safety, contributing to industrial accidents. ","The study collected physiological data from thirty chemical and safety professionals. The data included electroencephalography (EEG), photoplethysmography (PPG), and electrooculography (EOG) signals. ",The study employed a combination of four feature selection and extraction techniques for multi-modal information fusion and feature dimensionality reduction. Both deep learning (DL) and traditional machine learning (ML) techniques were utilized to construct a mental load recognition model. The performance of the model was evaluated using six reliable metrics. ,"The study found that sensitivity testing successfully induced mental load states, causing significant changes in EEG, PPG, and EOG indexes. Feature dimensionality reduction improved recognition effectiveness, with Random Forest Feature Selection (RFS) highlighted as the best method. The combination of RFS and a 1D-convolutional neural network (1D-CNN) model demonstrated excellent recognition effectiveness, achieving an overall accuracy of 90.67% and a high mental load recognition accuracy of 95%."
"The main purpose of this study was to employ machine learning techniques to predict ultraviolet (UV) radiation and noise levels during welding operations, with a focus on enhancing worker safety in the Indian foundry sector. ","The study addressed the challenge of assessing the actual exposure of workers to UV radiation and noise in welding operations, especially in the context of evaluating compliance with safety standards in developing countries where adherence to these standards is often inadequate. ","The data used in the study included measurements of UV radiation and noise levels collected from the welding of a ferrous alloy in three different foundries located in Agra, India. ",Five different machine learning algorithms were applied to analyze the data and predict the levels of UV radiation and noise. These algorithms were then evaluated to compare their performance relative to safety standards. ,"The study found that the Support Vector Machine (SVM) regression algorithm performed best for predicting UV radiation levels, with a Root Mean Square Error (RMSE) of 356.93, whereas the Random Forest algorithm was most effective for noise level prediction, achieving an RMSE of 11.4. These results demonstrate the utility of these algorithms in predicting exposure levels in welding operations."
The main purpose of this study is to develop a predictive model using Artificial Neural Networks (ANNs) to forecast the health risks associated with whole-body vibration (WBV) exposure among mining vehicle operators under various operational conditions. ,"The study addresses the challenge of prolonged WBV exposure in mining operations, which is linked to adverse health effects such as musculoskeletal disorders, including chronic low back pain and lumbar disc herniation. ","The data used in the study includes vibration data collected from tippers during routine operations at an opencast mine in central India. The dataset contains various operational factors such as haul road type, operator weight, speed, and payload. ","The methods used in the study include the development of an ANN model with a Multilayer Perceptron (MLP) architecture. The model predicts the magnitude of vibration exposure, utilizing backpropagation to adjust neuron connection weights and minimize output prediction errors. The data was split with 70% used for training, and the remaining 30% for testing and validation. ","The study found that the ANN model showed an excellent correlation between predicted and actual frequency weighted root mean square acceleration (awrms), with correlation coefficients of 97.58% for the training stage and 97.4% for the testing stage, indicating the model’s high predictive accuracy in assessing health risks associated with WBV in mining vehicle operations."
"The main purpose of this study is to explore the use of a digital twin technology to transform warehouse management and operational efficiency in engineer-to-order manufacturing environments, specifically companies creating prefabricated building components. ","The study addresses the challenges of highly customized product workflows and complex operations in engineer-to-order manufacturing, focusing on outdoor warehouse optimization and worker safety. ","The research utilizes in-depth analysis of the warehouse operations at Focchi S.p.A., a leader in manufacturing high-tech prefabricated building envelopes. ","The study outlines a methodology that integrates Internet of Things (IoT) devices, Building Information Modeling (BIM), and artificial intelligence to design and develop a digital twin. The methodology incorporates gathering and analyzing user requirements and designing for stakeholder interactions in the warehouse environment. ","Although preliminary testing results are not yet provided, the study identifies the potential of a BIM-, IoT-, and AI-integrated digital twin to streamline communication, enhance decision-making processes, and improve safety protocols in engineer-to-order manufacturing warehouses. The digital twin is recognized as a promising tool for increasing operational efficiency and safety, offering significant competitive advantages in the manufacturing industry."
"The study aimed to develop a privacy-preserving system that tracks and assesses the posture of assembly/disassembly line workers using artificial intelligence, aligning with the human-centric principles of the upcoming Industry 5.0 revolution. ","The study addresses the problem of back pain among workers, which results in significant economic costs due to lost work days and healthcare expenses, while also needing to respect worker privacy and autonomy. ","The system utilizes inertial data recorded by a smartwatch and Laser Imaging Detection and Ranging (LiDAR) data to monitor worker postures, providing a basis for the assessment compliant with the ISO 11226 European standard. ","The study used a combination of inertial measurement data from a smartwatch and LiDAR technology. This approach evaluates upper-body (dominant arm, shoulder, and trunk) and lower-body (legs) postures without compromising the worker's privacy or revealing their identity. ","The system demonstrated high effectiveness, recognizing worker postures with a mean accuracy close to 98%. This capability indicates potential to improve worker health by identifying poor posture and reducing the risk of musculoskeletal disorders, in line with Industry 5.0's focus on worker well-being and rights protection."
"The main purpose of the study was to develop a novel knowledge graph for industrial safety (ISKG) with HAZOP as the carrier, aimed at reusing and unlocking the value of Industrial Safety Knowledge (ISK) and optimizing HAZOP processes. ","The challenge addressed was the insufficient exploitation of the vast storehouse of Industrial Safety Knowledge (ISK) contained in HAZOP reports across different industrial processes, which had not been thoroughly harnessed due to varying expressions and standardization issues. ","The study used data from HAZOP reports of various industrial processes, focusing particularly on the indirect coal liquefaction process as a case study. ","The study employed a combination of deep learning and data science to create a novel and reliable information extraction model that effectively mines ISK from HAZOP reports. Additionally, a general ISK standardization framework was developed to integrate and uniformly represent this knowledge. ","The main findings include the successful creation of ISK triples and their storage within the Neo4j graph database. The development of ISKG not only optimizes HAZOP procedures but also enhances understanding and prevention awareness, demonstrating the significant potential of merging data science with engineering design to improve system security and ISK utilization. "
"The main purpose of the study was to identify risk factors for occupational accidents in the construction industry and to examine the impacts of these factors using Bayesian networks (BNs), aiming to enhance prediction accuracy and reduce repetitive patterns in accident data for better classification analysis. ","The construction industry is experiencing a rise in occupational accidents due to technological advancements, inadequate workplace safety procedures, and untrained workers, necessitating improved methods for predicting and managing these risks. ","The study utilized a dataset from an international construction firm, which included data on occupational accidents that were preprocessed for analysis. ","The research involved preprocessing the occupational accident data, conducting univariate frequency and cross-tabulation analysis, and leveraging Bayesian networks (BNs) to capture the conditional dependencies between various risk factors and their effects on occupational accidents. ","The findings revealed that certain occupational accident scenarios could be predicted with high accuracy using Bayesian networks and other machine learning methods. Moreover, the study evaluated the accuracy and efficacy of the Bayesian network model in handling classified accident data."
The main purpose of the study was to improve safety at construction sites by using an image semantic segmentation method based on Deep Learning (DL) to monitor the fall risk of construction workers near building elevator shafts. ,"The study addressed the challenge of frequent construction accidents, particularly the risks posed by unprotected elevator shafts, despite existing safety regulations and the use of personal protection devices by workers. ",The data used in this study included laboratory results and in-situ testing results related to the application of the Deep Learning-based image semantic segmentation method. ,"The study applied an image semantic segmentation method using Deep Learning techniques to monitor the behavior and safety of construction workers, particularly in the vicinity of elevator shafts. ","The results showed that the Recall and Precision during training in the laboratory and the Cleanness and Correctness obtained on site surpassed the 95% performance criteria, indicating the effectiveness of the method in monitoring and preventing accidental falls at construction sites."
The main purpose of the study was to develop intellectual ability in manufacturing processes and to predict and improve occupational health and safety in the fireworks industry. ,"The study addressed the problem of frequent and serious accidents in the fireworks industry, which is a major threat and the leading cause of death, requiring the analysis of various influential factors. ","The study utilized a real dataset containing various influential factors linked to fireworks incidents, including chemicals, facilities, transport, temperature, friction, etc. ",The study applied data mining solutions and employed the Decision Tree classifier as a method to forecast important factors influencing human health and safety in fireworks manufacturing environments. ,"The findings indicated that the Decision Tree classifier technique could effectively predict the risk factors in the fireworks industry regarding safety measures, contributing to improving the industry's performance."
"The main purpose of this study was to explore the efficacy of using smartphone sound level meter applications (apps), specifically the National Institute for Occupational Safety and Health (NIOSH) app, as an alternative to traditional noise measurement devices for assessing noise levels in various everyday environments. ","The challenge addressed was the potential utility and accuracy of smartphone apps in measuring noise exposures in non-traditional and non-occupational settings, where traditional occupational noise exposures are well understood but less is known about these newer environments. ","The study involved noise measurements obtained from an office, coffee shop, commuter train, restaurant, and spin class settings using both a traditional noise dosimeter and a smartphone equipped with the NIOSH sound level meter app. ",The study compared noise level measurements from a conventional noise dosimeter and a smartphone running the NIOSH sound level meter app in various real-world environments to test the accuracy of the smartphone app. ,"Noise levels across studied settings ranged between 47.7 dBA and 101.7 dBA, with mean differences in sound level measurements between devices staying below 2.0 dBA in environments like commuter trains, restaurants, and spin classes. The findings indicated that the NIOSH app could be used effectively as a screening tool in some settings, particularly where noise levels are stable and exceed 75 dBA. These insights are relevant as wearable technologies with internal microphones start to measure sound levels, which might encounter similar issues to those identified with smartphones without external calibrated microphones."
The main purpose of this study was to propose a feature-optimized predictive model for forecasting the severity of occupational injuries using machine learning techniques. ,"The challenge addressed in the study was the need for a predictive analysis tool to forecast the severity of occupational injuries, improving workplace safety measures and preventive strategies. ","The data utilized in this study consisted of 66,405 occupational injury records sourced from a public database managed by OSHA (Occupational Safety and Health Administration). ","The study applied five different machine learning models for predictive analysis: Support Vector Machine, K-Nearest Neighbors, Naïve Bayes, Decision Tree, and Random Forest. Feature optimization and hyperparameter tuning were also employed to enhance the model's performance. ","The main findings indicated that the Random Forest model outperformed the others with the highest accuracy and F1-score. It was particularly effective after feature optimization and hyperparameter tuning, significantly improving the prediction accuracy by 0.5%, achieving 0.895 in hospitalization predictions and 0.954 in amputation predictions. The three most critical features identified were ‘nature of injury’, ‘type of event’, and ‘affected body part’."
The main purpose of the study is to predict the effectiveness of industry safety measures for workers using hybrid ensemble techniques. ,"The study addresses the problem of frequent industrial accidents and injuries due to dangerous behavior, hazardous working conditions, and malfunctioning technical systems in various work environments. ",The abstract does not specify the data used in the study. ,The study applies hybrid ensemble techniques to assess the safety measures in industrial environments. ,The abstract does not provide specific results from the study.
The main purpose of the study was to explore visual searching strategies through eye-tracking scan patterns to enhance construction safety inspection. ,The challenge addressed was the lack of research into scan patterns of hazard recognition in the construction industry and how these patterns can be utilized for better safety management. ,The data used in this study included eye-tracking scanpaths collected from 47 participants who were identifying hazards in a simulated construction site environment. ,The study used a portable eye-tracking device to collect scanning data. Artificial intelligence was employed to quantitatively define areas of interest (AOIs) based on fixation data from participants. The research then compared searching strategies between participants who successfully recognized hazards and those who did not. ,The findings revealed that participants who effectively recognized hazards followed similar and distinct searching patterns compared to those who failed to recognize hazards. This indicates that successful hazard detection involves specific visual scanning strategies. 
The main purpose of this study was to correlate EEG signal patterns with different types of construction hazards and to develop an effective EEG classifier using virtual reality experiments to aid in real-time hazard identification on construction sites. ,"The primary challenge addressed was the unproven capacity of EEG (electroencephalogram) signals for the classification of multiple hazard types, which is critical for enhancing workers' safety by implementing real-time hazard identification in the construction industry. ",The data used in this study included EEG signals collected from subjects wearing wearable EEG and virtual reality devices. These subjects were exposed to various simulated construction hazards such as falls and slips/trips in a VR environment. ,"A variety of methods were employed including the extraction of two types of EEG features (time-domain/frequency-domain features and cognitive features), and the use of eighteen advanced machine learning algorithms to develop the EEG classifier. Experiments were conducted within a VR setting to simulate real-life hazard conditions and collect EEG data. ","The study initially found that the LightGBM classifier reached a 70.1% accuracy using cognitive features for 7-class classification. Performance was improved through relabeling the input data and implementing three new strategies, ultimately achieving an 82.3% accuracy with a two-step ensemble classification approach. This demonstrates the feasibility of using wearable EEG, VR, and machine learning to distinguish between different jobsite hazards and suggests methods to enhance the accuracy of multi-class hazard classification."
N/A,N/A,N/A,N/A,N/A
The main objective of the study is to synthesize emerging trends of artificial intelligence in electrical safety. ,The challenge addressed is the need to enhance safety measures in construction projects through the application of sophisticated AI technologies for monitoring and prevention purposes. ,"The data used in the study include images captured from mobile devices, unmanned aerial vehicles, wearable sensors, and building information modeling (BIM). ","AI, machine learning, and deep learning systems were used to analyze the data. Specific techniques include scanning jobsite images for safety hazards, correlating images with accident records, identifying unsafe worker behavior, and tracking real-time interactions on construction sites. ","The study found that AI-based algorithms effectively monitor safety hazards, identify risks, and suggest preventive measures. It also discussed using AI to execute Shock and Arc Flash Risk Assessment Procedure templates and addressed potential ethical issues from worker perspectives."
The main purpose of this study was to compare the focus on construction safety and health hazard awareness between academic literature and laypeople's discussions on Weibo. ,The study addresses the discrepancy in the themes and focal points between academia and the general public concerning construction hazard awareness. ,"The data consisted of 11,829 Weibo microposts related to construction safety and health hazard awareness and 769 academic articles indexed in Web of Science (WoS) from 1900 to 2021. ",The study involved a comparative analysis of the topics discussed in Weibo microposts and academic articles to determine differing priorities and approaches between laypeople and researchers. ,"The findings revealed that while academic circles concentrated on advanced technological applications like artificial intelligence for hazard identification and risk management, lay discussions rarely touched on these high-tech solutions and instead focused on more immediate and practical concerns like collapse, earthquakes, and safety management."
N/A,N/A,N/A,N/A,N/A
"The study aimed to understand why construction workers fail to effectively identify and manage safety hazards during hazard recognition and management efforts, and to develop evidence-based interventions to improve hazard identification and management performance in the construction industry. ","The construction industry is recognized as one of the most hazardous sectors globally, with a significant problem of workers failing to recognize and manage safety hazards adequately. ","The study utilized eye-tracking technology to collect data on workers' examination patterns of their work environments, along with stereoscopic visual data captured from real construction sites for developing mixed reality training environments. ","The research involved analyzing hazard recognition as a visual search task using eye-tracking technology, developing an immersive hyper-realistic mixed reality training environment, and creating an AI-based system that uses wearable camera footage to detect hazardous conditions in real-time. ",The findings showed that the mixed reality training environment significantly improved hazard identification and management performance among 56 tested participants. The AI-based detection system achieved 93% accuracy in recognizing workers’ proximity to hazards in both indoor and outdoor construction settings.
"The main purpose of this study was to assess and minimize the explosion risk of corn dust by determining the minimum ignition temperature (MIT) under various conditions, and to develop predictive models for MIT using polynomial surface fitting and artificial neural networks (ANN). ","Corn dust is a common and highly combustible substance in the food manufacturing industry that poses significant safety hazards, including the risk of explosions in ignition-sensitive environments. ","The study used experimental data obtained by analyzing the ignition of corn dust clouds in a Godbert Greenwald furnace, under different dispersion pressures and concentrations of corn dust. ",The study employed the following methods: 1. Determining the MIT for corn dust clouds under varying conditions using experimental setups. 2. Polynomial surface fitting to statistically forecast the MIT based on the impacts of concentration and dispersion pressure. 3. Utilization of artificial neural networks (ANN) as predictive tools to model MIT for specific conditions of dispersion pressures and concentrations. 4. Selection of the most appropriate polynomial model was based on the minimum value of the Bayesian Information Criterion (BIC). ,"Key findings include: 1. The MIT rises with a decrease in particle size and falls with increase in dispersion pressure and concentration until a critical value known as the optimal value for ignition. 2. Predictive results from the ANN were in good agreement with the polynomial surface fit and close to results obtained in previous research by Kasalova and Balog. 3. Several ANN models were trained using different numbers of neurons and transfer functions, showing high R-values (approximate to 1.0) in training, validation, and testing phases, which indicates high accuracy in the predictive capacity of the ANN model."
The main purpose of the study was to propose and test a new clustering algorithm called growing self-organizing map-based genetic K-means (GSGKM) combined with Tolerance Rough Set Approach (TRSA) to enhance accident analysis and prevention in workplaces. ,"The study addressed the challenge of analyzing high-dimensional accident data, which is typically complex due to issues like slow convergence and local minima problems that hinder efficient decision-making. ","The data used included accident records from an integrated steel plant for a case study, and four benchmark datasets from the University of California, Irvine (UCI) machine learning repository for a comparative study. ","The proposed methodology involved the use of the GSGKM algorithm to classify accident data into an optimal number of clusters. Subsequently, the TRSA was applied on each cluster to extract meaningful accident patterns. ","The study found that the proposed GSGKM methodology yielded the highest clustering accuracy compared to other state-of-the-art methods. Four clusters were identified with a total of 16 clear accident patterns or rules extracted using TRSA. The analysis also pointed out that company employees are more prone to accidents compared to contractors, and behavioral issues were the most determinant factor for injuries at work. The methodology proved effective for decision-making across various industries."
The main purpose of this study was to propose a correlation-based approach for mobile scaffold safety monitoring and detecting worker's unsafe behaviors in the construction industry. ,"The problem addressed in this study is the high occurrence of deaths from falls from height and scaffolding-related accidents in the construction industry, compounded by the impracticality and infeasibility of current safety monitoring practices due to the dynamic nature of construction sites. ",The study utilized a data set consisting of real scenarios from construction sites to test the proposed approach. ,"The study applied a deep neural network, specifically the Mask R-CNN, enhanced with an object correlation detection (OCD) module. This combination was used for the classification and segmentation of worker tasks, and for identifying unsafe behaviors, dividing worker safety into two categories: safe (class-1) and unsafe (class-2) behavior. ","The main findings revealed that the system achieved 85% precision and 97% recall for detecting safe behaviors, and 91% precision and 65% recall for detecting unsafe behaviors, with an overall accuracy of 86%. This confirms the effectiveness of the Mask R-CNN-based OCD module in detecting unsafe behaviors in a construction environment."
The main purpose of the study was to develop an automated preprocessing model that can identify the best scenario for predicting the severity of construction accidents. ,"The challenge addressed is the lack of focus on preprocessing pipelines in existing studies on predicting accident severity in construction, which have mainly concentrated on selecting machine learning methods. ","The abstract does not specify the exact data used; however, it implicitly refers to construction accident data involving attributes like year, cause material, age, past accidents, experience, and salary. ","The study implemented a scenario-basis automated preprocessing model that tested various combinations of methods including handling missing data, data binning, outlier consideration, Min-Max-Scaler, one-hot encoding, and data resampling with random oversampling. ","The highest performing scenario did not remove missing data, did not apply data binning, considered outliers, applied Min-Max-Scaler and one-hot encoding, and used random oversampling, achieving an F1-score of 0.6092. Permutation importance by XGBoost revealed the most influential attributes to be year, cause material, age, past accidents, experience, and salary."
